adult,child
He's putting the car seat in.,car
Will a decent girl defame herself?,girl
"Mommy, mommy, push me higher!",mommy
The keys still work.,keys
Your head in the right place?,head
light bulb .,light
- A kick in the teeth.,kick
It's nothing more than a blanket of silence.,blanket
- Good night.,night
you go find my cat .,cat
"- Yeah, baby, it's great.",baby
There's your car now.,car
Maybe I can help.,help
The box.,box
let's put the ball in there .,ball
i'll cut him with this star .,star
We'll do some leg stretches.,leg
mommy doesn't have her hat on ?,mommy
a bear goes ?,bear
you help me .,help
meow .,meow
can i kiss you back .,kiss
"-No, I don't need any help.",help
where's the baby ?,baby
We have to get the box.,box
soothing my ear with its quiet.,ear
Do I look like I need a babysitter?,babysitter
- [Dog Whining] - [Footsteps],dog
"That's what I'm talkin'about, baby.",baby
Not even on my toast at night?,toast
Today he's off to Mirzapur in regard of anew contract.,today
"Wait, wait, wait.",wait
"If I don't get back, you get her home.",home
box and surveying the house from that vantage point.,box
for the night ?,night
a box .,box
daddy will read it with you .,daddy
"I will wait, while you dig.",wait
you are baby dot can you fly yet .,baby
"Look, if one uses his head...",head
my car's not broken .,car
you want to go night night some more ?,night
Can you...stop the car.,car
We're gonna sit here all night ifwe have to.,night
well where's the baby cow ?,baby
"You're not my cup of tea, ok?",cup
let's see if we can find some toast .,toast
"You know, the full moon's coming, Derek.",moon
"Do you want some of this, baby?",baby
wrong foot .,foot
bird .,bird
♪ In the light of day ♪,light
Finish him!,finish
We'll leave my car far away,car
yeah that's a bird ?,bird
Look at Daddy.,daddy
"We never seem to get a break, do we?",break
"""Ay, there's the girl.""",girl
"Careful, leg, gently",leg
Look at that flaming dog.,dog
- You call a normal girl one legged,girl
-My poor baby.,baby
- Ouch!,ouch
It will help.,help
I will give you the golden ear stud,ear
Give me that bottle.,bottle
on my head ?,head
meow .,meow
It won't hurt for long.,hurt
Daddy can we swop places now?,daddy
do you want a dog or a cat ?,dog
Here's grandma and grandpa.,grandma
need help honey yeah heavy mm .,help
"Uh, you know, about the other night.",night
ow my foot is falling ?,foot
well it looks like they set the table .,table
We're going to introduce you to a nice girl.,girl
"Keep your eye on the ball next time, okay?",eye
don't hit the table so hard ?,table
mommy mia .,mommy
Holy cow!,cow
I want to have this baby.,baby
"Like saying her bed's shaking, that stuff?",bed
bye bye light .,light
would you like to read a book to me .,book
I'm sorry to break in.,break
Please don't let it be Big Bob.,big
please take that out of your mouth .,mouth
- Don't push it.,push
Whack his head as hard as you can.,head
two truck ?,truck
so then they go the cat goes walking .,cat
The hair  it rises upstairs.,hair
But she never eats fish...,fish
no that's micky mouse ?,mouse
Your beautiful hair.,hair
"""my head,"" ""my arm.""",head
let me shake your hand .,hand
get me the book .,book
"Well, who's this girl?",girl
you pull up your pants ?,pants
yeah i i can do it by eye by .,eye
you're getting to be a goof ball .,ball
I love that bear.,bear
you have to be gentle with the bear ?,bear
look a tiny baby .,baby
Please help me.,help
yeah where's the dog one go .,dog
The bear could awake at any time.,bear
where's his eyes ?,eyes
He has phone calls to the congressional leadership.,phone
can you make a ball ?,ball
what's that baby's name ?,baby
what's this girl doing ?,girl
you put them all back so nice in your box .,box
pour some more milk .,milk
nose off .,nose
I will help you.,help
a cow ?,cow
but we don't put the spoon in the hair .,spoon
The phone.,phone
"Be careful, baby.",baby
"But whatever it is, it takes two keys to unlock.",keys
Break everything,break
eat your banana laura .,banana
You don't need any help with that!,help
would you like some bread .,bread
"Wait, wait, wait.",wait
where does the sun go at night ?,sun
"""Making the eyes speak...""",eyes
I wanna do something in my chair.,chair
Anyone for a cup of tea?,cup
"sing ""Night Moves"" ?",night
Whose hand is that?,hand
♪ She'll pop in your mouth ♪,mouth
now can you show mommy how to make that necklace .,mommy
maybe mommy should go get a tissue .,mommy
and the baby doesn't get into your sewing box .,baby
- The phone number is what?,phone
Can we have your car?,car
she's going to get hot juice .,juice
beautiful duck .,duck
the ball !,ball
give me the leg .,leg
more milk or milk .,milk
The sun is rising over the shore!,sun
IT GOT ME THINKING.,me
"Wait, no.",wait
You could hurt somebody!,hurt
- There's a little girl sitting here.,girl
She's home?,home
(phone ringing),phone
"""'This is the cup of my blood.",cup
- Hi!,hi
you can use that for a bottle of shampoo ?,bottle
"Ah he must be ill, he's in the bed!",bed
(PHONE RINGING),phone
where's the box ?,box
that's your mommy's pencil i think .,mommy
and hurt and,hurt
I'll blow you on the bus.,bus
may i have another car .,car
I have a car waiting.,car
while today they mostly commit financial crimes.,today
baby doll yeah ?,baby
can you can you hit daddy with a cup ?,daddy
purple car .,car
You're a great help to me today.,help
And in the feed for our livestock and poultry.,feed
"Please, she needs our help.",help
They don't have keys.,keys
and a duck ?,duck
second only to whisper in his ear:,ear
need a little light .,light
"- 400 block, Powell.",block
what lion face ?,lion
it goes on the head ?,head
... I'll kick him in the...,kick
block ?,block
no you don't do that on mommy's rug .,mommy
Bear with us.,bear
a new book okay ?,book
i'm going to get you a banana laura .,banana
huh isn't that a good book .,book
He says he wants to use the phone.,phone
can i give you a sweet little kiss .,kiss
Why would I get mad about a cat?,cat
With his spoon.,spoon
If you don't bring my baby home.,baby
oh look at the bear ?,bear
that's her baby .,baby
Sorry about the wait.,wait
does it have a mouth ?,mouth
You can't help who you love.,help
And that turns into a box step.,box
I need her help to get me out of here.,help
it's a boat !,boat
i don't have anything but some milk ?,milk
that's right in the truck book .,truck
no it's a bird .,bird
what are you teaching mommy to do with this little girl ?,mommy
An eye for an ear.,eye
you shaking your head .,head
Good night.,night
"I don't, wait...",wait
It's Radio One.,radio
this is the box .,box
maybe today .,today
here push it there you go .,push
"""Don't talk about the baby.",baby
yeah you wanna give it to mommy ?,mommy
push him in !,push
Daddy's here.,daddy
"What cat would that be, Calum?",cat
"""We'll party all night.""",night
okay i'll give you do you want fresh banana .,banana
new car.,car
"- Say, ""Night night, Daddy.""",night
Help with what?,help
need some help .,help
it has a lion in it ?,lion
Finish that off?,finish
He can't even wash the car.,car
my cat's going back through the tunnel .,cat
is the baby gonna have some lunch too ?,baby
eating an apple .,apple
you're gonna bend the book ?,book
This means the new moon.,moon
"Welcome home, Maggie.",home
on toast.,toast
and a nose .,nose
The most spiritual of the night breed.,night
- Hi.,hi
You're as stubborn as that girl.,girl
push .,push
ride on the bird ?,bird
that's a clock .,clock
forget the chair .,chair
let mommy hide ?,mommy
if you need the extra help .,help
(PHONE BEEPS OFF),phone
`` Come and see his foot .,foot
isn't that a little girl ?,girl
mommy what this is !,mommy
you want me to hold your hand .,hand
- Watch your mouth.,mouth
i'll say what i wanna say mommy .,mommy
where's your eyes ?,eyes
other baby .,baby
do you have a car ?,car
- You look after yourself in the boat.,boat
on the bed ?,bed
give daddy give daddy the cup .,daddy
and the dog .,dog
blandly discerning smile.,smile
where is the baby ?,baby
I will be grateful if you help out.,help
you want mommy to write ?,mommy
baby food .,baby
You have a beautiful home.,home
it's a car ?,car
oh look at the baby's hair ?,baby
okay baby mama .,baby
as far as eye could reach.,eye
I give you a toast.,toast
That's the night for my birthday.,night
[Bird chirping],bird
this bath this minute!,bath
"""I stay at home at night",home
a little bath .,bath
okay mommy's gonna carry these things down the stairs !,mommy
and mommy's gonna have some something .,mommy
now you can say thank you daddy .,daddy
that's a hand trolley .,hand
- I can help you.,help
"""Grandma, please think it over again.",grandma
does it hurt .,hurt
Just break my nose.,nose
bottle that's right .,bottle
"You have clean hair, which is great.",hair
without a break.,break
TV off.,tv
"But wait, listen.",wait
"- Hi, Vivian.",hi
(CAR DOOR CLOSING),car
- I'm cold and my leg hurts.,leg
I mean your cat.,cat
Expect me to sit in your car?,car
Of the little girl.,girl
My phone.,phone
look at mommy ?,mommy
"""Does that book teach you all that?""",book
Take that baby inside.,baby
And that's the last bus home.,bus
oh everybody's sitting on the bed .,bed
- How's the cat?,how
is it a truck .,truck
"- Yeah, rain check.",rain
you want ta him to go to bed too .,bed
we're making little apple pies .,apple
When are you taking me home?,home
Another night ofdesolation,night
"put it on, baby.",baby
she looks at me for help ?,help
- Hi.,hi
Book of Mormon today.,book
mommy is very hungry .,mommy
I need your help.,help
"Are you a little slow in the head, Marcus?",head
and that's her hair ?,hair
Got to find a girl for you,girl
move this chair over to this table .,chair
"""Just go ahead with it and have this baby.",baby
yes he's reading his book .,book
Despite the heavy night and morning in Gothenburg -,night
While I finish him off.,finish
We have to buy the TV.,tv
is the cat watching too ?,cat
is the baby alright ?,baby
what is that you have in your hand ?,hand
is there any toast here .,toast
and it's listening to daddy too ?,daddy
make the car go on the floor .,car
is that girl doll .,girl
"You're not going today, you're going tomorrow.",today
[ Car beeping ],car
Every night I shiver in my sleep,night
look at this little girl .,girl
"Wait, wait, wait, wait.",wait
`` I want my own bed .,bed
"I mean, the girl is sad!",girl
Hardly steps foot off his property.,foot
Rain on the Down:     p. 5.,rain
yeah you show me papa pushes the duck !,duck
-Had a busy night.,night
his cereal ?,cereal
"Who, foot with horse to flank, against them go.",foot
and so the rain .,rain
- Toast.,toast
- I need your help.,help
"[ Dog growls, barks ]",dog
That's my baby girl.,baby
[Phone rings],phone
"Bus driver hair, gap tooth, cigarette.",bus
I want your fish right by me,fish
yes he puts everything in his mouth .,mouth
- Hi.,hi
Everybody in the truck!,truck
- probably with that rock.,rock
it's a big truck ?,truck
I think our table is ready.,table
I'm a dog but this is too much!,dog
Is this including milk men  or not ?,milk
"This car can accommodate your dilemma, as well.",car
"Oh, the little cat.",cat
do you see who's home pete ?,home
"Box F, sir.",box
he's such a nice dog ?,dog
Car oil.,car
Not this dog.,dog
"Go to sleep, Daddy's dead",daddy
cat right ?,cat
the baby has no basket .,baby
I'm going to go see my baby.,baby
in the ball racket ?,ball
i'm the daddy .,daddy
don't bite my hand either .,hand
mm they're having bear cookies ?,bear
they're going night night ?,night
that's grandma barbara and grandpa richard's house ?,grandma
- I'm gonna hat-trick you twice.,hat
mommy .,mommy
Girl: - [ Giggles ] Let's go dance.,girl
The other night he couldn't stop talking.,night
Just a break?,break
So you are free today?,today
or hair pin to keep her hair in place ?,hair
Leave now if you value your pants.,pants
where's mommy ?,mommy
we're eating at the table .,table
you're a lion tamer !,lion
see a little baby riding on it's mama's pouch ?,baby
I would always be there for baby !,baby
Anything you want to know is in the book.,book
it's a star .,star
- That's a cow-kick.,cow
no can't we go to bed daddy .,bed
I want bread.,bread
here's your juice .,juice
- Hi.,hi
"`` Girl , Sir Daniel ? ''",girl
you show mommy !,mommy
there's a baby crying over here violet .,baby
girl who's a girl .,girl
"Unfortunately, I have a kiss from Mary.",kiss
how about the cat ?,cat
He's in that car too!,car
oh it's a little book okay .,book
- He's toast!,toast
"Now, come on, old girl.",girl
"No phone calls, people.",phone
As of today you're on duty 24 hours a day!,today
Come on girl.,girl
No dog!,dog
Moon Kwon.,moon
do you have a book ?,book
a duck ?,duck
where's the car ?,car
hat right .,hat
An eye doctor doesn't say:,eye
closing his eyes .,eyes
Because you're the official dog walker?,dog
my eyes off the road.,eyes
you could put the bed in the house ?,bed
"If you won't help, wait outside.",help
My hand phone!,hand
Her phone is always busy.,phone
much-befrilled bed.,bed
"I'll do anything you want, baby.",baby
hi baby ?,baby
"Give us a hand, Steve.",hand
"This evil plant, before it shoot and grow.",plant
"Well, I can help you.",help
you just clip it on the bath tub .,bath
♪ They can't black out the moon ♪,moon
a duck with a tail .,duck
light bulb ?,light
Be a radio alarm clock?,radio
Do we wait here?,wait
watch what mommy does .,mommy
no that's a clock .,clock
your blanket is wet .,blanket
look at daddy look at daddy .,daddy
girl in the world!,girl
"That tells you where it is, and the phone numbers.",phone
you want a book about ethan .,book
In the pouring bloody rain and howling wind I expect.,rain
a ball ?,ball
"- it's a phone, it's a phone.",phone
"Have your cup of coffee now, while it's quiet.",cup
here give it to mommy .,mommy
"- Good night, Claudette.",night
you have milk or do you want juice ?,milk
"I repeat, three on foot toward the dome.",foot
do you wanna show daddy how to make ukranian eggs ?,daddy
one for each baby ?,baby
it's in the cow .,cow
ready to jump down .,jump
let's have more apple juice ?,apple
Will you two break it up?,break
sun that's the sun .,sun
I feel very urban today.,today
mommy could lie here all day .,mommy
Get in the car.,car
They're about to break up.,break
The cup of music overbrims,cup
It isn't the only car we have here.,car
"No, not Cookie.",cookie
You're not happy she's home?,home
Help us?,help
it might break .,break
get baby bright .,baby
what's the duck say ?,duck
Car service receipt.,car
"Well, then, you can stay in the car.",car
He's the happiest dog ever.,dog
This is my home.,home
and that's mommy .,mommy
mommy ?,mommy
mommy .,mommy
Let's have at me today.,today
are you crashing the table ?,table
[Phone rings],phone
wait .,wait
Table of Contents (_begins on right hand_).,table
is that a baby girl .,baby
why are you chewing on your hard ball ?,ball
i'll help ?,help
Who is he going to call by radio?,radio
Today let me check on your progress.,today
you want a big mouse for a surprise .,mouse
Good night.,night
your mouth!,mouth
that's so mommy can hear you when she's downstairs .,mommy
"""Sleepless in a sleepy night.""",night
- Can you feel me squeezing your hand?,hand
the slow rain of blood from the loft above.,rain
Does she like TV?,tv
baby .,baby
says the mommy .,mommy
He does not return phone calls promptly!,phone
That book is closed.,book
It's on the little table.,table
I DON'T KNOW IF YOU CAN HEAR THIS!,don't
Will you bring it today?,today
Daddy... it's ok now.,daddy
not today .,today
Long night?,night
what does the duck say ?,duck
hat .,hat
but that bread's not very nutritious .,bread
"- Where you going, dog?",dog
"Mommy, mommy, push me higher.",mommy
Help me!,help
"We never seem to get a break, do we?",break
bath .,bath
"Now, this truck contains something in addition to just cologne",truck
jump down .,jump
"In the night, we make our feast.",night
oh oh do you think he'll go off the table ?,table
Take that hat with him.,hat
Head down.,head
Can't you pick the phone?,phone
want this book !,book
say you're welcome daddy ?,daddy
Anything else I can help you with?,help
what's the baby doing here ?,baby
"On the other hand, activity could be good for circulation.",hand
-will you just open your eyes to this stuff?,eyes
Get on this bus!,bus
get your spoon over there .,spoon
oh you're gonna take that book to daddy .,book
You dog!,dog
mm it's good milk .,milk
push that .,push
- Left hand.,hand
"- Hi, Robert.",hi
- And you may become a star.,star
wait wait wait .,wait
where's mommy ?,mommy
It doesn`t hurt!,hurt
$230 for a night's stay.,night
"Yes, they can all sing really well.",sing
or your bottle ?,bottle
Help me!,help
He needs help.,help
Please don't hurt me!,hurt
Instead of ball bearings or nails.,ball
what about the truck ?,truck
let's put it back in the box .,box
not in your mouth .,mouth
Big Sis!,big
- You watch my mouth.,mouth
and what does duck say .,duck
- Wait.,wait
Hand them over!,hand
Can it wait?,wait
cup .,cup
can you get me a red block ?,block
okay have mommy do it .,mommy
i don't have the truck it must be upstairs .,truck
Couldn't wait for me to park the car?,car
I'm undercover Kitty.,kitty
"'Night, John Sellers.",night
The little cat ...,cat
okay you push .,push
You - out.,out
you got to give me a spoon .,spoon
you trying to hand daddy a donut .,daddy
Toe suckers freak me out.,toe
"- Good night, Padre.",night
bounce that ball .,ball
"Instead, I ask you to stand with me today.",today
read this book ?,book
Care to give me a hand?,hand
I sing extremely well.,sing
flower that's right .,flower
bear's a good sport .,bear
"Er, no you can get your dog on there.",dog
put your hand out .,hand
This girl is extraordinary.,girl
hm i think mommy will .,mommy
your ear's bleeding.,ear
oh that's a cute little mouse isn't it .,mouse
My hair!,hair
I got to imagine myself being a daddy.,daddy
We're building a five star hotel in place of your house,star
I'll help you.,help
Hot girl coming through.,girl
What's wrong with my eyes?,eyes
cat goes fiddle fee .,cat
I'll help you!,help
"Yes, chair.",chair
i'll have some milk .,milk
"Baby, we have good energy.",baby
you can make the bird fly .,bird
duck ?,duck
Is there anything you can help me out with?,help
why don't can you put the ball in the box ?,ball
But cat's do I think.,cat
Help me!,help
Meet me in the kitchen.,kitchen
How fast is that car going now?,car
why don't you take the phone with you ?,phone
`` I can wait .,wait
don't forget to pack this bear says everett .,bear
`` Nor exactly a bird ? '',bird
no more ball .,ball
give kiss .,kiss
You can't just wait here to die.,wait
"Well, tell the girl we're American.",girl
i'm going to make a phone call ?,phone
- With a wrecking ball out front?,ball
can she be the baby ?,baby
the mouse ?,mouse
Don't look them in the eye,eye
Get into the car first.,car
Good girl.,girl
where's the ball ?,ball
i'll help you do it yourself okay ?,help
You can help me.,help
Smile everyone!,smile
"""Is he at home?""",home
it's at home ?,home
Does daddy go in there drink drinks does he?,daddy
Well  that is daddy's isn't it?,daddy
why don't you help me turn .,help
do you think he likes to be in the truck ?,truck
"It's 8:00, grandma.",grandma
Stop the car.,car
kiss !,kiss
keys yes and that's a lollipop .,keys
we don't have your rocking chair back .,chair
truck's on fire .,truck
Not today.,today
"Please, don't hurt him.",hurt
is it fun to foot ?,foot
I wish the sun would rise already.,sun
sit down in your chair ?,chair
"NIGHT, a grey sky, a ghostly sea,",night
that's a grand hat .,hat
ball ?,ball
I have a comic book shop over on Columbus.,book
that is the moon .,moon
I think somebody's truck's on fire.,truck
want some more apple ?,apple
mommy bear .,mommy
"- Hi, honey.",hi
get the ball !,ball
"- Hey, baby.",baby
her eyes very wide.,eyes
My car's right here.,car
Get the ball!,ball
here's the dog ?,dog
"Yes, just break it, just like this.",break
I'll wait in the car.,car
- Some.,some
Need help?,help
And that too a lion cub,lion
I'll make my own break when the time comes.,break
where's the other shoe ?,shoe
- Take my hand.,hand
I will help you along!,help
when i wear my striped hat ?,hat
a for apple .,apple
There's my girl.,girl
and here comes the ball .,ball
Yeah baby.,baby
"- No, don't close your eyes.",eyes
He doesn't  smile very much.,smile
Give me your hand.,hand
just your regular daddy .,daddy
the cat the bear loves you !,cat
get the ball .,ball
well looks like a cup of coffee and a croissant .,cup
why do not you you put this up on the table .,table
Get out of the car.,car
it's a big boat yeah .,boat
"Who's the lucky girl, Felix?",girl
"Yeah, that's me, baby, that's me!",baby
pour grandma a cup of tea .,grandma
He's not home.,home
I'd be grateful for some fresh milk.,milk
It won't help you get out of here.,help
"Yeah, but Daddy says I`m the best.",daddy
"Welcome home, Batts.",home
"And I can fix this, but I need your help.",help
can you tell mommy ?,mommy
baby's orange juice .,baby
c for cat ?,cat
Get out of the car.,car
that's my book .,book
- It provides a home.,home
Where's the little girl?,girl
deaf ear.,ear
mhm for the bed room .,bed
The innocent is a dog.,dog
- Hi,hi
daddy's at work .,daddy
I'll be at the car.,car
Those divinest eyes can bring,eyes
oh daddy is tired today .,daddy
The truck's still moving.,truck
into their little home .,home
wait .,wait
where's the ball ?,ball
let me look at your nose ?,nose
So they'll wait for you there then are they?,wait
can you close the box ?,box
why don't you just have the apple juice now ?,apple
don't write in the book .,book
"Oh, wait, when you decide the time is right.",wait
get your car ?,car
that's the wrong foot .,foot
i don't like the dark .,dark
Why should I wait for that?,wait
is there a book for him there .,book
yeah do you hear daddy in the other room .,daddy
"""One kiss, only one.""",kiss
good night nathaniel .,night
now would you like the cookie ?,cookie
oh can you put him in the chair .,chair
good night baby ?,night
Can I have a spoon please?,spoon
Turn on the light!,light
And who'd you rather look to for help than Monica?,help
You can't bear it any longer,bear
you wanna see a duck ?,duck
the bath tub has water in it ?,bath
"I remember him going, going off with the milk",milk
they see the cat .,cat
a star .,star
- Oh baby.,baby
don't you think they have a baby too ?,baby
"Please, help!",help
I  in the bath.,bath
it's a book about bears too ?,book
no left foot .,foot
which bed should i sleep in ?,bed
oh a squeaky book ?,book
"IF I DON'T,IT WON'T BE LONG",don't
and the eyes off too .,eyes
kiss what !,kiss
Kiss Mama goodbye.,kiss
Kiss me all over...,kiss
i want you to hang this phone up .,phone
this is a nice book .,book
he's probably not the same at home .,home
"Quick to jump into bed, quick to propose.",bed
you going with daddy to throw it away .,daddy
"Toast, talk to me.",toast
Please don't let it be Big Bob.,big
out of your head .,head
Oh it's gorgeous  oh you beautiful bird..,bird
"Car is here, don't know where there are?",car
sing .,sing
chasing the car .,car
for the night.,night
(ROCK MUSIC PLAYS),rock
can mommy have them now ?,mommy
Why a shoe here?,shoe
Shoot them in the head.,head
Get in the car.,car
with her head in her sister’s lap.,head
forget the ball .,ball
Help me.,help
give me give mommy some sugar ?,mommy
light !,light
put your hand down .,hand
- It's a TV and it's working!,tv
He is my dog.,dog
That is an amazingly good car.,car
this is your right foot ?,foot
Without my hat?,hat
on the radio,radio
mommy's putting books in your book case ?,mommy
Kiss me.,kiss
Hey do you need any help?,help
love home goods .,home
"""We'll party all night.""",night
- Mommy!,mommy
The girl's a walking bleeding heart.,girl
what's the duck doing ?,duck
You're able to help him anyway.,help
no push ?,push
who wants cereal and strawberries ?,cereal
Well you'd better phone her up.,phone
where's your hand you mean ?,hand
can i jump in your car .,car
Welcome home Grampy!,home
Prepare for the lion dance contest!,lion
a flower and a flower ?,flower
you're gonna kick the whole blasted table over .,table
a chair .,chair
yes that big head !,head
"One apple juice, please.",apple
Toast ....,toast
"Can I help you?""",help
Right duck.,duck
Just blow my nose,nose
you want your bottle ?,bottle
My pants are always riding up like this!,pants
close the box .,box
I've a much bigger fish to...,fish
Oh you mean I might see my coat again?,coat
on a dish .,dish
Is that her on the phone machine?,phone
here's your bottle .,bottle
he's in a boat .,boat
give mommy some sugar ?,mommy
what's in your hair ?,hair
a bear !,bear
That is why there are night-lights .,night
does she talk to you at night ?,night
"LEFT HAND BEHIND THE HEAD, REACH UP AND OVER.",hand
is that the radio .,radio
push him down .,push
Which girl impossible!,girl
(Phone vibrating),phone
New kitchen rules mum.,kitchen
Smash the table.,table
"Wait, you can't do that.",wait
let me see now what would i like to buy today ?,today
daddy wants to put that phone away now .,daddy
- Would these help?,help
The Night Blooming Cereus.,night
And my cereal bowl.,cereal
daddy has nathaniel's .,daddy
I'll let go of your nose.,nose
stay here and i'll get you some more apple juice .,apple
Help me!,help
It won't hurt for long.,hurt
that's a lion .,lion
Grandma I what ?,grandma
try holding him by his hat .,hat
kitty cat yeah sitting on an oriental .,kitty
a plant .,plant
let's get home.,home
I can't get it out of my head.,head
Turn on the light above now.,light
Or are you a bad girl?,girl
you wanna sit with mommy to read a story ?,mommy
after you go to bed ?,bed
yes my girl .,girl
wait .,wait
Good night.,night
here comes the ball .,ball
her head !,head
yes daddy loves blankie .,daddy
put it on the chair and i will fix it .,chair
spells mommy .,mommy
well you show me the duck pushes the dog .,duck
- Wait.,wait
And not break it.,break
this is the inside light .,light
..a dog.. a dog that but today..,unknown
you remember the car .,unknown
Just orange juice.,unknown
♪ Too bad he gonna miss the girl,unknown
this is the daddy .,unknown
how about a book ?,unknown
well let daddy get you some oatmeal .,unknown
THE NIGHT MOTH WITH A CROOKED FEELER,unknown
"-I love you, baby.",unknown
where's mommy ?,unknown
well are you gonna read the book or what .,unknown
Don't you want some more milk?,unknown
here come back car .,unknown
- And Toe Blake.,unknown
Open your eyes!,unknown
The girl is a rather small price to pay for that.,unknown
the ball .,unknown
Out of the car!,unknown
"- Wait, what does it mean?",unknown
car yeah that's a kite ?,unknown
Well we'll go to bed and watch this.,unknown
that's a ball .,unknown
would you like to crawl into bed now please .,unknown
is that a bus or a station wagon ?,unknown
look in the box .,unknown
you really like your truck don't you ?,unknown
"- Hi, Luke.",unknown
About a cat?,unknown
- Our boat.,unknown
that's not a dog pen ?,unknown
Dog's looking at you.,unknown
want to play ball ?,unknown
Here's my phone.,unknown
can mommy .,unknown
I ought to be on that boat.,unknown
look what mommy and william have .,unknown
Just help me.,unknown
can mommy show you .,unknown
"girl-fondness, ""Maizie.""",unknown
"Toast, guys.",unknown
thank you big daddy ?,unknown
you don't want to see mommy ?,unknown
"overshadows his home, discovers that he needs something beyond",unknown
that's the baby nemo look how cute .,unknown
- ( car alarm chirps ),unknown
Big Brother!,unknown
"- Hi, Daddy, we miss you.",unknown
I never çağırmamıştın home.,unknown
Why don't you take him up a cup of tea?,unknown
Well you'll have help me,unknown
This partying all night!,unknown
She's my baby.,unknown
that's a clock .,unknown
do you like the friendly bear ?,unknown
- You toast it!,unknown
let's draw daddy .,unknown
would you like some bread .,unknown
"Wait up, wait up!",unknown
It's all in your head.,unknown
she's gonna squish mommy instead .,unknown
It must be those eyes.,unknown
the baby she's sleeping chrissie ?,unknown
"It's pouring rain, Ted.",unknown
do you want cookie ?,unknown
The moon won't wait.,unknown
"Look, I don't wear toe socks around town.",unknown
wow huh is your fish swimming ?,unknown
you don't want anybody picking you up by the hair .,unknown
"Good night, Lynn.",unknown
Close your eyes.,unknown
um milk goes in it .,unknown
daddy is gonna write with a pen .,unknown
Hand outs  every time!,unknown
you can lay in bed .,unknown
do you need help getting it ?,unknown
mommy is so comfortable .,unknown
To help them sleep.,unknown
Open up your mouth.,unknown
What a perfectly charming table arrangement.,unknown
"Yes, most likely by hand.",unknown
silly that's not how you talk on the phone .,unknown
- Can it wait?,unknown
that's the apple .,unknown
4. The head of the apostle Andrew.,unknown
You could make a hot dog.,unknown
Help me get her in.,unknown
let's use our nose and find things to smell .,unknown
Have a baby boy!,unknown
let's see if mommy can do that .,unknown
He's enjoying his break.,unknown
"Rock, rockin' Robin Tweet tweedle-dee-dee",unknown
Snake eyes.,unknown
It's no good them grandma.,unknown
Or does the girl get the girl?,unknown
I can get to the bus station by myself.,unknown
"What do you like, the leg or the wing Henry?",unknown
Little girl?,unknown
Put it down Put the phone down,unknown
He want's outside help.,unknown
that's a boat .,unknown
her hand.,unknown
no no their feed bowl .,unknown
- Look out for the bus!,unknown
The car comes.,unknown
You stay at home too much on days off!,unknown
Remember when you peed your pants in little league?,unknown
so that your bed doesn't get all wet .,unknown
this baby's .,unknown
please don't talk baby talk to me !,unknown
Now push!,unknown
that's your eye .,unknown
do you wan a book about a cat ?,unknown
Let's go downstairs and get a cookie.,unknown
'Is he at home?',unknown
And where would you drive your fastest car?,unknown
simpering smile.,unknown
but no banana .,unknown
With some hand lotion and the Internet?,unknown
might help them?,unknown
and you're gonna put the tv in it ?,unknown
you don't want mommy to choke .,unknown
- You're not a girl...?,unknown
Do you want some milk James?,unknown
And then it's juice.,unknown
We'll help you.,unknown
yes great grandma ?,unknown
no mommy has to put on your socks wait a minute .,unknown
we need to cut your hair it's a mess .,unknown
there's one foot ?,unknown
Good night.,unknown
It's either a cat leg or a finger.,unknown
okay the lion .,unknown
mommy you don't know what i'm gonna make .,unknown
- So you're the rich girl.,unknown
And what book is that?,unknown
don't hold her by her hair .,unknown
very good girl .,unknown
"What's up, girl?",unknown
- You don't see that truck...,unknown
Today everything is different.,unknown
throw it to mommy .,unknown
on the bed.,unknown
"Trust me, show your hand.",unknown
yeah something in my eye .,unknown
"must keep an eye on you, my lady.”",unknown
I don't want to sale my car!,unknown
- Good night.,unknown
Daddy will help.,unknown
"- I need to put my head down, work harder.",unknown
Could be the short head.,unknown
okay go sit at the table ?,unknown
are you squishing it in your mouth ?,unknown
is that bread good .,unknown
"Here, let me put on the radio.",unknown
That's her car.,unknown
What hand?,unknown
ball right ?,unknown
oh this book .,unknown
oh you wanna look at mommy's ears .,unknown
"And half relent that, shrinking from a kiss,",unknown
"Hey, wait, wait, wait, I'm serious.",unknown
put your hand .,unknown
don't break it .,unknown
don't throw the block .,unknown
What about your car history?,unknown
The big apple is for uncle Jahan.,unknown
don't jump on the couch .,unknown
I'm just the dog.,unknown
- I need you to access a phone.,unknown
that a girl .,unknown
well i can't sing .,unknown
well i do and mommy does it sometimes .,unknown
where's the ball ?,unknown
mommy likes fudge .,unknown
like mommy's cooking pots .,unknown
"Wait, stop.",unknown
Make yourself at home.,unknown
It's late at night.,unknown
"- Oh, this is your car, right?",unknown
This is an antiquarian book.,unknown
My shoe come off.,unknown
i think it's my coat isn't it ?,unknown
i wanna see this big girl too .,unknown
pick up his ear on the floor .,unknown
and so you have to keep it away from the baby .,unknown
"Mm, you're testing me today aren't you!",unknown
"- Good night, Grace.",unknown
can you put it on mommy's finger ?,unknown
"Be a nice girl, now.",unknown
"you'll be, you'll be at home before the",unknown
Just give him a dead eye.,unknown
Leaving the boat?,unknown
We don't want to hit that little bird.,unknown
can you put it back in the box ?,unknown
how about this book ?,unknown
not in your mouth sweetie .,unknown
